Geography,Name,Median Household Income,Poverty Rate (%),Unemployment Rate (%),Bachelor's Degree or Higher (%)
8600000US01741,ZCTA5 01741,157500,5.5,3.8,80.9
8600000US01742,ZCTA5 01742,132736,4.9,2.0,67.2
8600000US01745,ZCTA5 01745,117955,0.0,7.7,54.1
8600000US01746,ZCTA5 01746,108350,4.0,5.0,60.0
8600000US01747,ZCTA5 01747,99886,2.4,3.6,40.5
8600000US01748,ZCTA5 01748,128267,2.2,3.6,65.0
8600000US01749,ZCTA5 01749,74082,6.4,4.0,36.6
8600000US01752,ZCTA5 01752,71424,7.4,5.2,39.2
8600000US01754,ZCTA5 01754,79252,9.4,5.0,50.2
8600000US01756,ZCTA5 01756,112104,1.9,4.2,50.6
8600000US01757,ZCTA5 01757,68784,10.8,5.3,34.9
8600000US01760,ZCTA5 01760,99172,4.0,3.4,66.2
8600000US01770,ZCTA5 01770,155564,2.0,1.7,82.9
8600000US01772,ZCTA5 01772,155952,3.4,3.6,69.8
8600000US01773,ZCTA5 01773,143897,3.4,1.6,80.2
8600000US01775,ZCTA5 01775,131500,3.0,4.0,64.7
8600000US01776,ZCTA5 01776,169505,1.9,3.1,78.4
8600000US01778,ZCTA5 01778,141083,4.2,3.1,79.0
8600000US01801,ZCTA5 01801,79034,6.7,5.0,35.9
8600000US01803,ZCTA5 01803,95465,4.7,5.4,47.3
8600000US01810,ZCTA5 01810,125321,4.4,3.8,70.5
8600000US01821,ZCTA5 01821,91605,6.2,4.8,32.2
8600000US01824,ZCTA5 01824,103411,3.5,3.6,51.5
8600000US01826,ZCTA5 01826,76879,5.0,4.3,24.4
8600000US01827,ZCTA5 01827,116125,1.3,3.9,53.7
8600000US01830,ZCTA5 01830,55237,15.6,7.2,26.6
8600000US01832,ZCTA5 01832,60351,11.8,6.7,26.5
8600000US01833,ZCTA5 01833,106898,2.6,3.4,49.4
8600000US01834,ZCTA5 01834,92898,2.7,4.5,35.2
8600000US01835,ZCTA5 01835,74156,5.9,3.4,36.8
8600000US01840,ZCTA5 01840,18140,35.7,7.4,12.7
8600000US01841,ZCTA5 01841,32367,30.2,9.6,10.4
8600000US01843,ZCTA5 01843,43920,24.0,6.9,14.6
8600000US01844,ZCTA5 01844,68587,9.1,5.6,28.7
8600000US01845,ZCTA5 01845,100544,4.6,5.6,57.5
8600000US01850,ZCTA5 01850,51556,17.4,8.2,17.5
8600000US01851,ZCTA5 01851,52031,17.6,8.6,20.9
8600000US01852,ZCTA5 01852,48690,18.5,7.7,25.3
8600000US01854,ZCTA5 01854,42948,22.8,6.6,20.0
8600000US01860,ZCTA5 01860,80508,4.7,6.4,45.0
8600000US01862,ZCTA5 01862,98305,3.5,4.9,30.8
8600000US01863,ZCTA5 01863,74695,3.3,4.9,44.3
8600000US01864,ZCTA5 01864,112419,4.5,4.1,50.8
8600000US01867,ZCTA5 01867,104472,2.4,3.9,56.2
8600000US01876,ZCTA5 01876,88794,4.0,4.5,33.1
8600000US01879,ZCTA5 01879,93108,7.1,7.1,39.7
8600000US01880,ZCTA5 01880,85694,4.5,4.8,45.6
8600000US01886,ZCTA5 01886,125143,2.7,3.9,69.5
8600000US01887,ZCTA5 01887,100536,2.2,5.3,37.3
8600000US01890,ZCTA5 01890,141829,3.0,3.7,70.2
8600000US01901,ZCTA5 01901,22614,31.2,11.1,31.3
8600000US01902,ZCTA5 01902,37786,23.7,8.3,16.9
8600000US01904,ZCTA5 01904,81258,6.2,5.3,29.5
8600000US01905,ZCTA5 01905,47694,25.7,6.8,14.2
8600000US01906,ZCTA5 01906,76141,6.0,6.1,25.0
8600000US01907,ZCTA5 01907,96510,4.7,3.9,56.4
8600000US01908,ZCTA5 01908,65083,5.0,3.2,48.1
8600000US01913,ZCTA5 01913,76463,4.3,5.2,41.9
8600000US01915,ZCTA5 01915,73980,8.6,4.7,45.4
8600000US01921,ZCTA5 01921,127813,2.8,6.0,59.7
8600000US01922,ZCTA5 01922,111806,1.7,2.4,60.7
8600000US01923,ZCTA5 01923,77404,4.7,5.5,41.6
8600000US01929,ZCTA5 01929,89185,3.7,4.8,43.5
8600000US01930,ZCTA5 01930,60229,9.7,6.5,32.7
8600000US01937,ZCTA5 01937,-,61.6,7.1,18.8
8600000US01938,ZCTA5 01938,77901,5.8,5.0,48.6
8600000US01940,ZCTA5 01940,109099,1.8,4.2,46.4
8600000US01944,ZCTA5 01944,89313,6.6,5.6,59.8
8600000US01945,ZCTA5 01945,100709,4.9,3.3,69.8
8600000US01949,ZCTA5 01949,105646,4.7,4.2,35.9
8600000US01950,ZCTA5 01950,83149,7.4,5.9,57.8
8600000US01951,ZCTA5 01951,90969,6.9,3.5,57.0
8600000US01952,ZCTA5 01952,75995,8.3,6.1,29.7
8600000US01960,ZCTA5 01960,62137,7.7,3.9,28.7
8600000US01966,ZCTA5 01966,70288,5.4,5.0,49.6
